,Symbol,Contract_Type,Product_Name,Asset_Class_Id
153,LBR-LBR,Future,Lumber Futures,2
155,SYP,Future,Southern Yellow Pine (Fastmarkets) Futures,2
156,SYP-SYP,Future,Southern Yellow Pine (Fastmarkets) Futures,2
158,GIE,Future,S&P-GSCI™ Excess Return Index Futures,2
159,GIE-GIE,Future,S&P-GSCI™ Excess Return Index Futures,2
160,GIT,Future,BTIC on S&P-GSCI™ Excess Return Index Futures,2
161,GD,Future,S&P-GSCI™ Commodity Index Futures,2
162,GD-GD,Future,S&P-GSCI™ Futures,2
163,GDT,Future,BTIC on S&P-GSCI™ Commodity Index Futures,2
165,AW,Future,Bloomberg Commodity Index Futures,2
166,AW-AW,Future,Bloomberg Commodity Index Futures,2
167,AWT,Future,BTIC on Bloomberg Commodity Index Futures,2
168,DRS,Future,Bloomberg Roll Select Commodity Index Futures,2
169,DRS-DRS,Future,Bloomberg Roll Select Commodity Index Futures,2
170,DRT,Future,BTIC on Bloomberg Roll Select Commodity Index Futures,2
172,CJ,Future,Cocoa Futures,2
173,CJ-CJ,Future,Cocoa Futures,2
174,KT,Future,Coffee Futures,2
175,KT-KT,Future,Coffee Futures,2
176,TT,Future,Cotton Futures,2
177,TT-TT,Future,Cotton Futures,2
178,YO,Future,Sugar #11 Futures,2
179,YO-YO,Future,Sugar #11 Futures,2
182,OZC,Option,Corn Options,1
183,"12C,CZ6,CZ8,CZC,CZ7,",Option,Corn Calendar Spread Options,1
184,1CA - 5CA,Option,Corn Monday Weekly Options - Weeks 1-5,1
185,1BC - 5BC,Option,Corn Tuesday Weekly Options - Weeks 1-5,1
186,1CW - 5CW,Option,Corn Wednesday Weekly Options - Weeks 1-5,1
187,1HC - 5HC,Option,Corn Thursday Weekly Options - Weeks 1-5,1
188,"ZC1,ZC2,ZC3,ZC4,ZC5",Option,Corn Friday Weekly Options - Weeks 1-5,1
189,"CN1,CN2,CN3,CN4,CN5",Option,Weekly New Crop Corn Options,1
190,OCD,Option,Short-Dated Options on New Crop Corn Options,1
191,BSO,Option,Black Sea Corn Financially Settled (Platts) Options,1
192,ZCW,Option,Corn-Wheat Intercommodity Spread Options,1
193,HSO,Option,Hard Red Spring Wheat Options,1
194,OKE,Option,KC Hard Red Winter (HRW) Wheat Options,1
195,"KZC,CK3,
KCR,KC6,
12",Option,KC Hard Red Winter (HRW) Wheat Calendar Spread Options,1
196,"OE1,OE2,
OE3,OE4,
OE",Option,KC HRW Wheat Friday Options - Weeks 1-5,1
197,KCW,Option,KCBT Wheat vs. CBOT Wheat Intercommodity Spread Options,1
198,KWE,Option,KC Hard Red Winter (HRW) Wheat Short-Dated New Crop Options,1
199,OZO,Option,Oats Options,1
200,OZR,Option,Rough Rice Options,1
201,OZS,Option,Soybean Options,1
202,"12S, CZS, SC7, SZ4, ",Option,Soybean Calendar Spread Options,1
203,1SA - 5SA,Option,Soybean Monday Weekly Options - Weeks 1-5,1
204,1SB - 5SB,Option,Soybean Tuesday Weeky Options - Weeks 1-5,1
205,1SC - 5SC,Option,Soybean Wednesday Weekly Options - Weeks 1-5,1
206,1SD - 5SD,Option,Soybean Thursday Weekly Options - Weeks 1-5,1
207,"ZS1,ZS2,ZS3,ZS4,ZS5",Option,Soybean Friday Weekly Options - Weeks 1-5,1
208,"SN1,SN2,SN3,SN4,SN5",Option,Weekly New Crop Soybean Options,1
209,BCE,Option,Soybean Crush Options,1
210,OSD,Option,Short-Dated New Crop Soybean Options,1
211,SRS,Option,South American Short-Dated New Crop Soybean Options,1
212,OZM,Option,Soybean Meal Options,1
213,"MC6,CZM,
MC3,MC4,
MC",Option,Soybean Meal Calendar Spread Options,1
214,1MA - 5MA,Option,Soybean Meal Monday Options - Weeks 1-5,1
215,1MB - 5MB,Option,Soybean Meal Tuesday Options - Weeks 1-5,1
216,1MC - 5MC,Option,Soybean Meal Wednesday Options - Weeks 1-5,1
217,1MD - 5MD,Option,Soybean Meal Thursday Options - Weeks 1-5,1
218,"ZM1,ZM2,
ZM3,ZM4,
ZM",Option,Soybean Meal Friday Weekly Options - Weeks 1-5,1
219,OMD,Option,Short-Dated New Crop Soybean Meal Options,1
220,OZL,Option,Soybean Oil Options,1
221,"CZL, OC6, NC3, NC4, ",Option,Soybean Oil Calendar Spread Options,1
222,1OA - 5OA,Option,Soybean Oil Monday Options - Weeks 1-5,1
223,1OB - 5OB,Option,Soybean Oil Tuesday Options - Weeks 1-5,1
224,1OC - 5OC,Option,Soybean Oil Wednesday Options - Weeks 1-5,1
225,1OD - 5OD,Option,Soybean Oil Thursday Options - Weeks 1-5,1
226,"ZL1,ZL2,ZL3,
ZL4,ZL5",Option,Soybean Oil Friday Weekly Options - Weeks 1-5,1
227,OLD,Option,Short-Dated New Crop Soybean Oil Options,1
228,OSO,Option,Soybean Oilshare Options,1
229,OZW,Option,Wheat Options,1
230,"12W,CWZ,
CZW,WC6,
WC",Option,Wheat Calendar Spread Options,1
231,1WA - 5WA,Option,Chicago SRW Wheat Monday Options - Weeks 1-5,1
232,1WB - 5WB,Option,Chicago SRW Wheat Tuesday  Options - Weeks 1-5,1
233,1WC - 5WC,Option,Chicago SRW Wheat Wednesday Options - Weeks 1-5,1
234,1WD - 5WD,Option,Chicago SRW Wheat Thursday Options - Weeks 1-5,1
235,"ZW1,ZW2,
ZW3,ZW4,
ZW",Option,Chicago SRW Wheat Friday Weekly Options - Weeks 1-5,1
236,BWO,Option,Black Sea Wheat Financially Settled (Platts) Options,1
237,OWD,Option,Short-Dated New Crop Wheat Options,1
